"sourcePath","sourceSha256","sourceCategory","importPath","targetRuntimePath","status","calComTests","nerovaTests","featureFlag","licenseMarkers","notes"
".github/actions/yarn-install/action.yml","00b5ab3a7fac1400857ad3befb4f4d68792e06fdf6ee3085a3113f5ae575e61d","ci","application/main/CalCom/.github/actions/yarn-install/action.yml","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".github/actions/yarn-playwright-install/action.yml","efec9e1d79563da21aba5eccef73c6a2a63f80d1a528621b2ec24ee9067162cf","ci","application/main/CalCom/.github/actions/yarn-playwright-install/action.yml","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".github/labeler.yml","6e5ced6825dae0238896fedd147a33fe6f40eaa4cdd29363f35c633e8d834ca7","ci","application/main/CalCom/.github/labeler.yml","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".github/matchers/tsc-absolute.json","a8909222c24aaa12535cd90404f61240fe15d69839f740c3c60755dceddeb606","ci","application/main/CalCom/.github/matchers/tsc-absolute.json","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".github/oasdiff-err-ignore.txt","460e181060c940fce70f600a75694877d3023127d5f3a9f857829524664534e8","ci","application/main/CalCom/.github/oasdiff-err-ignore.txt","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".github/workflows/all-checks.yml","5928cbe0d89824b5c4f3bb92d2094037cd5f3f6df9ab2a5880decce986104f55","ci","application/main/CalCom/.github/workflows/all-checks.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/api-v1-production-build.yml","a605f035b7b98f19d05e043800f5341dc156cd38182b09bbed2425d6e4c7852b","ci","application/main/CalCom/.github/workflows/api-v1-production-build.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/api-v2-production-build.yml","446c4bb05174da7bdd9359fd833c331b6202feb83d2a43681e9faba5a2d5478e","ci","application/main/CalCom/.github/workflows/api-v2-production-build.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/api-v2-unit-tests.yml","c678df70e108391230a631c2c2e65f162c9924a9c123209dbb12e5e279c70729","ci","application/main/CalCom/.github/workflows/api-v2-unit-tests.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/atoms-production-build.yml","a556b7268ac292c713bb104492ef5b87bbbe19d5dbb8fa52febfd7cd77186764","ci","application/main/CalCom/.github/workflows/atoms-production-build.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cache-clean.yml","d947fdec96b1e7fd38a8c83a1d1d690a56640b3929b30dd65bea2eeb3e07a17b","ci","application/main/CalCom/.github/workflows/cache-clean.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/changesets.yml","cc59c909a99741331020ef5781b7884027c6bacba2784cc7753ab5f0fae8fcb5","ci","application/main/CalCom/.github/workflows/changesets.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/check-api-v2-breaking-changes.yml","e3cfbc50d053b1d6a805a164ef22db8176d5d208c692b5fc7d15c10f3b22be49","ci","application/main/CalCom/.github/workflows/check-api-v2-breaking-changes.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/check-prisma-migrations.yml","0489a86cab14dc0643e4f067a900dfa772382f352763b49184f672216926311e","ci","application/main/CalCom/.github/workflows/check-prisma-migrations.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/check-types.yml","8576e7de3503f392c3d7888bdce09a75cd3b237d6822964106222d59019b1b31","ci","application/main/CalCom/.github/workflows/check-types.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
